Start	Finish	Task	CPU Decision	Frequency
3238.000000	3238.500000	T[0][404]	Execute()	1.000000
3238.500000	3245.000000	____	Sleep	____
3239.500000	_______	T[0][406]	DelayedArrival	____
3245.000000	3246.000000	T[1][231]	Execute()	1.000000
3246.000000	3247.000000	T[0][405]	Execute()	1.000000
3247.000000	3254.000000	____	Sleep	____
3248.000000	_______	T[0][407]	DelayedArrival	____
3248.000000	_______	T[1][233]	DelayedArrival	____
3254.000000	3254.500000	T[0][406]	Execute()	1.000000
3254.500000	3261.000000	____	Sleep	____
3255.500000	_______	T[0][408]	DelayedArrival	____
3261.000000	3262.000000	T[1][232]	Execute()	1.000000
3262.000000	_______	T[1][234]	DelayedArrival	____
3262.000000	3262.500000	T[0][407]	Execute()	1.000000
3262.500000	3270.000000	____	Sleep	____
3263.500000	_______	T[0][409]	DelayedArrival	____
3270.000000	3272.000000	T[0][408]	Execute()	1.000000
3272.000000	_______	T[0][410]	DelayedArrival	____
3272.000000	3275.000000	____	Sleep	____
3275.000000	3276.000000	T[1][233]	Execute()	1.000000
3276.000000	_______	T[1][235]	DelayedArrival	____
3276.000000	3278.000000	____	Sleep	____
3278.000000	3280.000000	T[0][409]	Execute()	1.000000
3280.000000	_______	T[0][411]	DelayedArrival	____
3280.000000	3286.000000	____	Sleep	____
3286.000000	3287.000000	T[0][410]	Execute()	1.000000
3287.000000	3289.000000	____	Sleep	____
3288.000000	_______	T[0][412]	DelayedArrival	____
3289.000000	3290.000000	T[1][234]	Execute()	1.000000
3290.000000	_______	T[1][236]	DelayedArrival	____
3290.000000	3294.000000	____	Sleep	____
3294.000000	3295.000000	T[0][411]	Execute()	1.000000
3295.000000	3301.000000	____	Sleep	____
3295.500000	_______	T[0][413]	DelayedArrival	____
3301.000000	3301.500000	T[1][235]	Execute()	1.000000
3301.500000	3302.000000	T[0][412]	Execute()	1.000000
3302.000000	3307.000000	____	Sleep	____
3304.000000	_______	T[0][414]	DelayedArrival	____
3304.000000	_______	T[1][237]	DelayedArrival	____
3307.000000	3307.500000	T[0][413]	Execute()	1.000000
3307.500000	3309.000000	____	Sleep	____
3309.000000	3310.000000	T[1][236]	Execute()	1.000000
3310.000000	3311.000000	____	Sleep	____
3311.000000	3312.000000	T[3][7]	Execute()	1.000000
3312.000000	_______	T[0][415]	DelayedArrival	____
3312.000000	3314.000000	T[0][414]	Execute()	1.000000
3314.000000	3318.000000	T[3][7]	Execute()	1.000000
3318.000000	_______	T[1][238]	DelayedArrival	____
3318.000000	3319.000000	T[1][237]	Execute()	1.000000
3319.000000	3325.000000	____	Sleep	____
3320.000000	_______	T[0][416]	DelayedArrival	____
3325.000000	3327.000000	T[0][415]	Execute()	1.000000
3327.000000	3328.000000	T[3][7]	Execute()	1.000000
3328.000000	_______	T[0][417]	DelayedArrival	____
3328.000000	3329.000000	T[0][416]	Execute()	1.000000
3329.000000	3332.000000	T[3][7]	Execute()	1.000000
3332.000000	_______	T[1][239]	DelayedArrival	____
3332.000000	3332.500000	T[1][238]	Execute()	1.000000
3332.500000	3341.000000	____	Sleep	____
3336.000000	_______	T[0][418]	DelayedArrival	____
3341.000000	3342.000000	T[0][417]	Execute()	1.000000
3342.000000	3343.000000	____	Sleep	____
3343.000000	3344.000000	T[3][7]	Execute()	1.000000
3344.000000	_______	T[0][419]	DelayedArrival	____
3344.000000	3345.000000	T[0][418]	Execute()	1.000000
3345.000000	3346.000000	T[3][7]	Execute()	1.000000
3346.000000	_______	T[1][240]	DelayedArrival	____
3346.000000	3352.000000	T[3][7]	Execute()	1.000000
3352.000000	_______	T[0][420]	DelayedArrival	____
3352.000000	3360.000000	T[3][7]	Execute()	1.000000
3360.000000	_______	T[0][421]	DelayedArrival	____
3360.000000	_______	T[1][241]	DelayedArrival	____
3360.000000	_______	T[3][9]	DelayedArrival	____
3360.000000	3368.000000	T[3][7]	Execute()	1.000000
3368.000000	_______	T[0][422]	DelayedArrival	____
