Start	Finish	Task	CPU Decision	Frequency
3890.000000	3892.000000	T[2][15]	Execute()	1.000000
3892.000000	_______	T[1][279]	DelayedArrival	____
3892.000000	3893.000000	T[1][278]	Execute()	1.000000
3893.000000	3901.000000	____	Sleep	____
3896.000000	_______	T[0][488]	DelayedArrival	____
3901.000000	3901.500000	T[0][487]	Execute()	1.000000
3901.500000	3903.000000	____	Sleep	____
3903.000000	3904.000000	T[2][15]	Execute()	1.000000
3904.000000	_______	T[0][489]	DelayedArrival	____
3904.000000	3904.500000	T[0][488]	Execute()	1.000000
3904.500000	3906.000000	T[2][15]	Execute()	1.000000
3906.000000	_______	T[1][280]	DelayedArrival	____
3906.000000	3906.500000	T[2][15]	Execute()	1.000000
3906.500000	3917.000000	____	Sleep	____
3907.000000	_______	T[0][490]	DelayedArrival	____
3917.000000	3917.500000	T[1][279]	Execute()	1.000000
3917.500000	3918.500000	T[0][489]	Execute()	1.000000
3918.500000	3926.000000	____	Sleep	____
3920.000000	_______	T[0][491]	DelayedArrival	____
3920.000000	_______	T[1][281]	DelayedArrival	____
3920.000000	_______	T[2][17]	DelayedArrival	____
3926.000000	3928.000000	T[0][490]	Execute()	1.000000
3928.000000	_______	T[0][492]	DelayedArrival	____
3928.000000	3933.000000	____	Sleep	____
3933.000000	3933.500000	T[1][280]	Execute()	1.000000
3933.500000	3934.000000	T[0][491]	Execute()	1.000000
3934.000000	_______	T[1][282]	DelayedArrival	____
3934.000000	3935.500000	T[0][491]	Execute()	1.000000
3935.500000	3942.000000	____	Sleep	____
3936.000000	_______	T[0][493]	DelayedArrival	____
3942.000000	3944.000000	T[0][492]	Execute()	1.000000
3944.000000	_______	T[0][494]	DelayedArrival	____
3944.000000	3947.000000	____	Sleep	____
3947.000000	3948.000000	T[1][281]	Execute()	1.000000
3948.000000	_______	T[1][283]	DelayedArrival	____
3948.000000	3950.000000	____	Sleep	____
3950.000000	3952.000000	T[0][493]	Execute()	1.000000
3952.000000	_______	T[0][495]	DelayedArrival	____
3952.000000	3958.000000	____	Sleep	____
3958.000000	3960.000000	T[0][494]	Execute()	1.000000
3960.000000	_______	T[0][496]	DelayedArrival	____
3960.000000	3961.000000	____	Sleep	____
3961.000000	3962.000000	T[1][282]	Execute()	1.000000
3962.000000	_______	T[1][284]	DelayedArrival	____
3962.000000	3966.000000	____	Sleep	____
3966.000000	3966.500000	T[0][495]	Execute()	1.000000
3966.500000	3973.000000	____	Sleep	____
3967.500000	_______	T[0][497]	DelayedArrival	____
3973.000000	3974.000000	T[1][283]	Execute()	1.000000
3974.000000	3976.000000	T[0][496]	Execute()	1.000000
3976.000000	_______	T[0][498]	DelayedArrival	____
3976.000000	_______	T[1][285]	DelayedArrival	____
3976.000000	3982.000000	____	Sleep	____
3982.000000	3982.500000	T[0][497]	Execute()	1.000000
3982.500000	3989.000000	____	Sleep	____
3983.000000	_______	T[0][499]	DelayedArrival	____
3989.000000	3989.500000	T[1][284]	Execute()	1.000000
3989.500000	3990.000000	T[0][498]	Execute()	1.000000
3990.000000	_______	T[1][286]	DelayedArrival	____
3990.000000	3998.000000	____	Sleep	____
3991.000000	_______	T[0][500]	DelayedArrival	____
3998.000000	3998.500000	T[0][499]	Execute()	1.000000
3998.500000	4003.000000	____	Sleep	____
3999.500000	_______	T[0][501]	DelayedArrival	____
4003.000000	4004.000000	T[1][285]	Execute()	1.000000
4004.000000	_______	T[1][287]	DelayedArrival	____
4004.000000	4006.000000	____	Sleep	____
4006.000000	4008.000000	T[0][500]	Execute()	1.000000
4008.000000	_______	T[0][502]	DelayedArrival	____
4008.000000	4014.000000	____	Sleep	____
4014.000000	4016.000000	T[0][501]	Execute()	1.000000
4016.000000	_______	T[0][503]	DelayedArrival	____
4016.000000	4017.000000	____	Sleep	____
4017.000000	4018.000000	T[1][286]	Execute()	1.000000
4018.000000	_______	T[1][288]	DelayedArrival	____
4018.000000	4022.000000	____	Sleep	____
4022.000000	4022.500000	T[0][502]	Execute()	1.000000
4022.500000	4029.000000	____	Sleep	____
4023.500000	_______	T[0][504]	DelayedArrival	____
4029.000000	4030.000000	T[1][287]	Execute()	1.000000
4030.000000	4032.000000	T[0][503]	Execute()	1.000000
4032.000000	_______	T[0][505]	DelayedArrival	____
4032.000000	_______	T[1][289]	DelayedArrival	____
4032.000000	4038.000000	____	Sleep	____
4038.000000	4038.500000	T[0][504]	Execute()	1.000000
4038.500000	4045.000000	____	Sleep	____
4039.500000	_______	T[0][506]	DelayedArrival	____
4045.000000	4046.000000	T[1][288]	Execute()	1.000000
4046.000000	_______	T[1][290]	DelayedArrival	____
4046.000000	4048.000000	T[0][505]	Execute()	1.000000
4048.000000	_______	T[0][507]	DelayedArrival	____
4048.000000	4054.000000	____	Sleep	____
4054.000000	4055.000000	T[0][506]	Execute()	1.000000
4055.000000	4059.000000	____	Sleep	____
4056.000000	_______	T[0][508]	DelayedArrival	____
4059.000000	4060.000000	T[1][289]	Execute()	1.000000
4060.000000	_______	T[1][291]	DelayedArrival	____
4060.000000	4062.000000	____	Sleep	____
4062.000000	4063.000000	T[0][507]	Execute()	1.000000
4063.000000	4070.000000	____	Sleep	____
4063.500000	_______	T[0][509]	DelayedArrival	____
4070.000000	4072.000000	T[0][508]	Execute()	1.000000
4072.000000	_______	T[0][510]	DelayedArrival	____
4072.000000	4073.000000	____	Sleep	____
4073.000000	4073.500000	T[1][290]	Execute()	1.000000
4073.500000	4078.000000	____	Sleep	____
4074.000000	_______	T[1][292]	DelayedArrival	____
4078.000000	4078.500000	T[0][509]	Execute()	1.000000
4078.500000	4085.000000	____	Sleep	____
4079.500000	_______	T[0][511]	DelayedArrival	____
4085.000000	4086.000000	T[1][291]	Execute()	1.000000
4086.000000	4088.000000	T[0][510]	Execute()	1.000000
4088.000000	_______	T[0][512]	DelayedArrival	____
4088.000000	_______	T[1][293]	DelayedArrival	____
4088.000000	4094.000000	____	Sleep	____
4094.000000	4096.000000	T[0][511]	Execute()	1.000000
4096.000000	_______	T[0][513]	DelayedArrival	____
4096.000000	4101.000000	____	Sleep	____
4101.000000	4101.500000	T[1][292]	Execute()	1.000000
4101.500000	4102.000000	T[0][512]	Execute()	1.000000
4102.000000	_______	T[1][294]	DelayedArrival	____
4102.000000	4103.500000	T[0][512]	Execute()	1.000000
4103.500000	4110.000000	____	Sleep	____
4104.000000	_______	T[0][514]	DelayedArrival	____
4110.000000	4111.000000	T[0][513]	Execute()	1.000000
4111.000000	4115.000000	____	Sleep	____
4111.500000	_______	T[0][515]	DelayedArrival	____
4115.000000	4115.500000	T[1][293]	Execute()	1.000000
4115.500000	4117.000000	____	Sleep	____
4116.000000	_______	T[1][295]	DelayedArrival	____
4117.000000	4118.000000	T[0][514]	Execute()	1.000000
4118.000000	4118.500000	T[1][294]	Execute()	1.000000
4118.500000	4126.000000	____	Sleep	____
4120.000000	_______	T[0][516]	DelayedArrival	____
4126.000000	4127.000000	T[0][515]	Execute()	1.000000
4127.000000	4128.000000	T[2][16]	Execute()	1.000000
4128.000000	_______	T[0][517]	DelayedArrival	____
4128.000000	4128.500000	T[0][516]	Execute()	1.000000
4128.500000	4133.000000	____	Sleep	____
4130.000000	_______	T[1][296]	DelayedArrival	____
4133.000000	4133.500000	T[1][295]	Execute()	1.000000
4133.500000	4135.000000	____	Sleep	____
4135.000000	4136.000000	T[2][16]	Execute()	1.000000
4136.000000	_______	T[0][518]	DelayedArrival	____
4136.000000	4138.000000	T[0][517]	Execute()	1.000000
4138.000000	4144.000000	T[2][16]	Execute()	1.000000
4144.000000	_______	T[0][519]	DelayedArrival	____
4144.000000	_______	T[1][297]	DelayedArrival	____
4144.000000	4150.000000	____	Sleep	____
4150.000000	4151.000000	T[0][518]	Execute()	1.000000
4151.000000	4157.000000	____	Sleep	____
4151.500000	_______	T[0][520]	DelayedArrival	____
4157.000000	4157.500000	T[1][296]	Execute()	1.000000
4157.500000	4158.000000	T[0][519]	Execute()	1.000000
4158.000000	_______	T[1][298]	DelayedArrival	____
4158.000000	4159.500000	T[0][519]	Execute()	1.000000
4159.500000	4160.000000	T[1][297]	Execute()	1.000000
4160.000000	_______	T[0][521]	DelayedArrival	____
4160.000000	4165.000000	____	Sleep	____
4161.000000	_______	T[2][18]	DelayedArrival	____
4165.000000	4166.000000	T[0][520]	Execute()	1.000000
4166.000000	4167.000000	____	Sleep	____
4167.000000	4168.000000	T[3][9]	Execute()	1.000000
4168.000000	_______	T[0][522]	DelayedArrival	____
4168.000000	4170.000000	T[0][521]	Execute()	1.000000
4170.000000	4172.000000	T[3][9]	Execute()	1.000000
4172.000000	_______	T[1][299]	DelayedArrival	____
4172.000000	4173.000000	T[1][298]	Execute()	1.000000
4173.000000	4181.000000	____	Sleep	____
4176.000000	_______	T[0][523]	DelayedArrival	____
4181.000000	4181.500000	T[0][522]	Execute()	1.000000
4181.500000	4183.000000	____	Sleep	____
4183.000000	4184.000000	T[3][9]	Execute()	1.000000
4184.000000	_______	T[0][524]	DelayedArrival	____
4184.000000	4186.000000	T[0][523]	Execute()	1.000000
4186.000000	_______	T[1][300]	DelayedArrival	____
4186.000000	4192.000000	T[3][9]	Execute()	1.000000
4192.000000	_______	T[0][525]	DelayedArrival	____
4192.000000	4196.000000	T[3][9]	Execute()	1.000000
4196.000000	4197.000000	____	Sleep	____
4197.000000	4198.000000	T[1][299]	Execute()	1.000000
4198.000000	4198.500000	T[0][524]	Execute()	1.000000
4198.500000	4206.000000	____	Sleep	____
4200.000000	_______	T[0][526]	DelayedArrival	____
4200.000000	_______	T[1][301]	DelayedArrival	____
4200.000000	_______	T[3][11]	DelayedArrival	____
4206.000000	4206.500000	T[0][525]	Execute()	1.000000
4206.500000	4213.000000	____	Sleep	____
4207.000000	_______	T[0][527]	DelayedArrival	____
4213.000000	4213.500000	T[1][300]	Execute()	1.000000
4213.500000	4214.000000	T[0][526]	Execute()	1.000000
4214.000000	_______	T[1][302]	DelayedArrival	____
4214.000000	4215.500000	T[0][526]	Execute()	1.000000
4215.500000	4222.000000	____	Sleep	____
4216.000000	_______	T[0][528]	DelayedArrival	____
4222.000000	4223.000000	T[0][527]	Execute()	1.000000
4223.000000	4227.000000	____	Sleep	____
4224.000000	_______	T[0][529]	DelayedArrival	____
4227.000000	4228.000000	T[1][301]	Execute()	1.000000
4228.000000	_______	T[1][303]	DelayedArrival	____
4228.000000	4230.000000	____	Sleep	____
4230.000000	4230.500000	T[0][528]	Execute()	1.000000
4230.500000	4238.000000	____	Sleep	____
4231.000000	_______	T[0][530]	DelayedArrival	____
4238.000000	4238.500000	T[0][529]	Execute()	1.000000
4238.500000	4241.000000	____	Sleep	____
4239.000000	_______	T[0][531]	DelayedArrival	____
4241.000000	4241.500000	T[1][302]	Execute()	1.000000
4241.500000	4246.000000	____	Sleep	____
4242.000000	_______	T[1][304]	DelayedArrival	____
4246.000000	4246.500000	T[0][530]	Execute()	1.000000
4246.500000	4253.000000	____	Sleep	____
4247.500000	_______	T[0][532]	DelayedArrival	____
4253.000000	4254.000000	T[1][303]	Execute()	1.000000
4254.000000	4256.000000	T[0][531]	Execute()	1.000000
4256.000000	_______	T[0][533]	DelayedArrival	____
4256.000000	_______	T[1][305]	DelayedArrival	____
4256.000000	4262.000000	____	Sleep	____
4262.000000	4264.000000	T[0][532]	Execute()	1.000000
4264.000000	_______	T[0][534]	DelayedArrival	____
4264.000000	4269.000000	____	Sleep	____
4269.000000	4269.500000	T[1][304]	Execute()	1.000000
4269.500000	4270.000000	T[0][533]	Execute()	1.000000
4270.000000	_______	T[1][306]	DelayedArrival	____
4270.000000	4278.000000	____	Sleep	____
4271.000000	_______	T[0][535]	DelayedArrival	____
4278.000000	4279.000000	T[0][534]	Execute()	1.000000
4279.000000	4283.000000	____	Sleep	____
4280.000000	_______	T[0][536]	DelayedArrival	____
4283.000000	4284.000000	T[1][305]	Execute()	1.000000
4284.000000	_______	T[1][307]	DelayedArrival	____
4284.000000	4286.000000	____	Sleep	____
4286.000000	4287.000000	T[0][535]	Execute()	1.000000
4287.000000	4294.000000	____	Sleep	____
4287.500000	_______	T[0][537]	DelayedArrival	____
4294.000000	4295.000000	T[0][536]	Execute()	1.000000
4295.000000	4297.000000	____	Sleep	____
4295.500000	_______	T[0][538]	DelayedArrival	____
4297.000000	4297.500000	T[1][306]	Execute()	1.000000
4297.500000	4302.000000	____	Sleep	____
4298.000000	_______	T[1][308]	DelayedArrival	____
4302.000000	4303.000000	T[0][537]	Execute()	1.000000
4303.000000	4309.000000	____	Sleep	____
4304.000000	_______	T[0][539]	DelayedArrival	____
4309.000000	4310.000000	T[1][307]	Execute()	1.000000
4310.000000	4312.000000	T[0][538]	Execute()	1.000000
4312.000000	_______	T[0][540]	DelayedArrival	____
4312.000000	_______	T[1][309]	DelayedArrival	____
4312.000000	4318.000000	____	Sleep	____
4318.000000	4320.000000	T[0][539]	Execute()	1.000000
4320.000000	_______	T[0][541]	DelayedArrival	____
4320.000000	4325.000000	____	Sleep	____
4325.000000	4325.500000	T[1][308]	Execute()	1.000000
4325.500000	4326.000000	T[0][540]	Execute()	1.000000
4326.000000	_______	T[1][310]	DelayedArrival	____
4326.000000	4327.500000	T[0][540]	Execute()	1.000000
4327.500000	4334.000000	____	Sleep	____
4328.000000	_______	T[0][542]	DelayedArrival	____
4334.000000	4336.000000	T[0][541]	Execute()	1.000000
4336.000000	_______	T[0][543]	DelayedArrival	____
4336.000000	4339.000000	____	Sleep	____
4339.000000	4340.000000	T[1][309]	Execute()	1.000000
4340.000000	_______	T[1][311]	DelayedArrival	____
4340.000000	4342.000000	____	Sleep	____
4342.000000	4343.000000	T[0][542]	Execute()	1.000000
4343.000000	4350.000000	____	Sleep	____
4343.500000	_______	T[0][544]	DelayedArrival	____
4350.000000	4351.000000	T[0][543]	Execute()	1.000000
4351.000000	4353.000000	____	Sleep	____
4351.500000	_______	T[0][545]	DelayedArrival	____
4353.000000	4353.500000	T[1][310]	Execute()	1.000000
4353.500000	4358.000000	____	Sleep	____
4354.000000	_______	T[1][312]	DelayedArrival	____
4358.000000	4358.500000	T[0][544]	Execute()	1.000000
4358.500000	4365.000000	____	Sleep	____
4359.500000	_______	T[0][546]	DelayedArrival	____
4365.000000	4366.000000	T[1][311]	Execute()	1.000000
4366.000000	4367.000000	T[0][545]	Execute()	1.000000
4367.000000	4374.000000	____	Sleep	____
4368.000000	_______	T[0][547]	DelayedArrival	____
4368.000000	_______	T[1][313]	DelayedArrival	____
4374.000000	4374.500000	T[0][546]	Execute()	1.000000
4374.500000	4379.000000	____	Sleep	____
4375.000000	_______	T[0][548]	DelayedArrival	____
4379.000000	4379.500000	T[1][312]	Execute()	1.000000
4379.500000	4381.500000	T[0][547]	Execute()	1.000000
4381.500000	4382.000000	T[2][17]	Execute()	1.000000
4382.000000	_______	T[1][314]	DelayedArrival	____
4382.000000	4382.500000	T[1][313]	Execute()	1.000000
4382.500000	4384.000000	T[2][17]	Execute()	1.000000
4384.000000	_______	T[0][549]	DelayedArrival	____
4384.000000	4384.500000	T[0][548]	Execute()	1.000000
4384.500000	4390.000000	____	Sleep	____
4390.000000	4392.000000	T[2][17]	Execute()	1.000000
4392.000000	_______	T[0][550]	DelayedArrival	____
4392.000000	4393.000000	T[0][549]	Execute()	1.000000
4393.000000	4398.000000	____	Sleep	____
4396.000000	_______	T[1][315]	DelayedArrival	____
4398.000000	4400.000000	T[2][17]	Execute()	1.000000
4400.000000	_______	T[0][551]	DelayedArrival	____
4400.000000	4402.000000	T[0][550]	Execute()	1.000000
4402.000000	4403.000000	T[2][17]	Execute()	1.000000
4403.000000	4409.000000	____	Sleep	____
4404.000000	_______	T[0][552]	DelayedArrival	____
4409.000000	4410.000000	T[1][314]	Execute()	1.000000
4410.000000	_______	T[1][316]	DelayedArrival	____
4410.000000	_______	T[2][19]	DelayedArrival	____
4410.000000	4414.000000	____	Sleep	____
4414.000000	4415.000000	T[0][551]	Execute()	1.000000
4415.000000	4421.000000	____	Sleep	____
4415.500000	_______	T[0][553]	DelayedArrival	____
4421.000000	4421.500000	T[1][315]	Execute()	1.000000
4421.500000	4422.000000	T[0][552]	Execute()	1.000000
4422.000000	4430.000000	____	Sleep	____
4424.000000	_______	T[0][554]	DelayedArrival	____
4424.000000	_______	T[1][317]	DelayedArrival	____
4430.000000	4431.000000	T[0][553]	Execute()	1.000000
4431.000000	4437.000000	____	Sleep	____
4432.000000	_______	T[0][555]	DelayedArrival	____
4437.000000	4438.000000	T[1][316]	Execute()	1.000000
4438.000000	_______	T[1][318]	DelayedArrival	____
4438.000000	4440.000000	T[0][554]	Execute()	1.000000
4440.000000	_______	T[0][556]	DelayedArrival	____
4440.000000	4446.000000	____	Sleep	____
4446.000000	4447.000000	T[0][555]	Execute()	1.000000
4447.000000	4451.000000	____	Sleep	____
4448.000000	_______	T[0][557]	DelayedArrival	____
4451.000000	4452.000000	T[1][317]	Execute()	1.000000
4452.000000	_______	T[1][319]	DelayedArrival	____
4452.000000	4454.000000	____	Sleep	____
4454.000000	4455.000000	T[0][556]	Execute()	1.000000
4455.000000	4462.000000	____	Sleep	____
4456.000000	_______	T[0][558]	DelayedArrival	____
4462.000000	4462.500000	T[0][557]	Execute()	1.000000
4462.500000	4465.000000	____	Sleep	____
4463.500000	_______	T[0][559]	DelayedArrival	____
4465.000000	4466.000000	T[1][318]	Execute()	1.000000
4466.000000	_______	T[1][320]	DelayedArrival	____
4466.000000	4470.000000	____	Sleep	____
4470.000000	4472.000000	T[0][558]	Execute()	1.000000
4472.000000	_______	T[0][560]	DelayedArrival	____
4472.000000	4477.000000	____	Sleep	____
4477.000000	4478.000000	T[1][319]	Execute()	1.000000
4478.000000	4480.000000	T[0][559]	Execute()	1.000000
4480.000000	_______	T[0][561]	DelayedArrival	____
4480.000000	_______	T[1][321]	DelayedArrival	____
4480.000000	4486.000000	____	Sleep	____
4486.000000	4488.000000	T[0][560]	Execute()	1.000000
4488.000000	_______	T[0][562]	DelayedArrival	____
4488.000000	4493.000000	____	Sleep	____
4493.000000	4493.500000	T[1][320]	Execute()	1.000000
4493.500000	4494.000000	T[0][561]	Execute()	1.000000
4494.000000	_______	T[1][322]	DelayedArrival	____
4494.000000	4502.000000	____	Sleep	____
4494.500000	_______	T[0][563]	DelayedArrival	____
4502.000000	4503.000000	T[0][562]	Execute()	1.000000
4503.000000	4507.000000	____	Sleep	____
4503.500000	_______	T[0][564]	DelayedArrival	____
4507.000000	4507.500000	T[1][321]	Execute()	1.000000
4507.500000	4510.000000	____	Sleep	____
4508.000000	_______	T[1][323]	DelayedArrival	____
4510.000000	4511.000000	T[0][563]	Execute()	1.000000
4511.000000	4518.000000	____	Sleep	____
4512.000000	_______	T[0][565]	DelayedArrival	____
4518.000000	4518.500000	T[0][564]	Execute()	1.000000
4518.500000	4521.000000	____	Sleep	____
4519.500000	_______	T[0][566]	DelayedArrival	____
4521.000000	4522.000000	T[1][322]	Execute()	1.000000
4522.000000	_______	T[1][324]	DelayedArrival	____
4522.000000	4526.000000	____	Sleep	____
4526.000000	4526.500000	T[0][565]	Execute()	1.000000
4526.500000	4533.000000	____	Sleep	____
4527.000000	_______	T[0][567]	DelayedArrival	____
4533.000000	4533.500000	T[1][323]	Execute()	1.000000
4533.500000	4534.000000	T[0][566]	Execute()	1.000000
4534.000000	4542.000000	____	Sleep	____
4536.000000	_______	T[0][568]	DelayedArrival	____
4536.000000	_______	T[1][325]	DelayedArrival	____
4542.000000	4542.500000	T[0][567]	Execute()	1.000000
4542.500000	4549.000000	____	Sleep	____
4543.500000	_______	T[0][569]	DelayedArrival	____
4549.000000	4550.000000	T[1][324]	Execute()	1.000000
4550.000000	_______	T[1][326]	DelayedArrival	____
4550.000000	4550.500000	T[0][568]	Execute()	1.000000
4550.500000	4558.000000	____	Sleep	____
4551.500000	_______	T[0][570]	DelayedArrival	____
4558.000000	4559.000000	T[0][569]	Execute()	1.000000
4559.000000	4563.000000	____	Sleep	____
4560.000000	_______	T[0][571]	DelayedArrival	____
4563.000000	4564.000000	T[1][325]	Execute()	1.000000
4564.000000	_______	T[1][327]	DelayedArrival	____
4564.000000	4566.000000	____	Sleep	____
4566.000000	4567.000000	T[0][570]	Execute()	1.000000
4567.000000	4573.000000	____	Sleep	____
4567.500000	_______	T[0][572]	DelayedArrival	____
4573.000000	4574.000000	T[0][571]	Execute()	1.000000
4574.000000	4575.000000	____	Sleep	____
4575.000000	4575.500000	T[1][326]	Execute()	1.000000
4575.500000	4576.000000	T[3][10]	Execute()	1.000000
4576.000000	_______	T[0][573]	DelayedArrival	____
4576.000000	4576.500000	T[0][572]	Execute()	1.000000
4576.500000	4578.000000	____	Sleep	____
4578.000000	_______	T[1][328]	DelayedArrival	____
4578.000000	4579.000000	T[1][327]	Execute()	1.000000
4579.000000	4591.000000	____	Sleep	____
4584.000000	_______	T[0][574]	DelayedArrival	____
4591.000000	4591.500000	T[0][573]	Execute()	1.000000
4591.500000	4592.000000	T[3][10]	Execute()	1.000000
4592.000000	_______	T[0][575]	DelayedArrival	____
4592.000000	_______	T[1][329]	DelayedArrival	____
4592.000000	4594.000000	T[0][574]	Execute()	1.000000
4594.000000	4594.500000	T[1][328]	Execute()	1.000000
4594.500000	4598.000000	____	Sleep	____
4598.000000	4600.000000	T[3][10]	Execute()	1.000000
4600.000000	_______	T[0][576]	DelayedArrival	____
4600.000000	4601.000000	T[0][575]	Execute()	1.000000
4601.000000	4606.000000	____	Sleep	____
4606.000000	_______	T[1][330]	DelayedArrival	____
4606.000000	4608.000000	T[3][10]	Execute()	1.000000
4608.000000	_______	T[0][577]	DelayedArrival	____
4608.000000	4609.000000	T[0][576]	Execute()	1.000000
4609.000000	4612.000000	T[3][10]	Execute()	1.000000
4612.000000	4619.000000	____	Sleep	____
4613.000000	_______	T[0][578]	DelayedArrival	____
4619.000000	4620.000000	T[1][329]	Execute()	1.000000
4620.000000	_______	T[1][331]	DelayedArrival	____
4620.000000	_______	T[3][12]	DelayedArrival	____
4620.000000	4621.000000	____	Sleep	____
4621.000000	4621.500000	T[0][577]	Execute()	1.000000
4621.500000	4622.500000	T[1][330]	Execute()	1.000000
4622.500000	4630.000000	____	Sleep	____
4624.000000	_______	T[0][579]	DelayedArrival	____
4630.000000	4630.500000	T[0][578]	Execute()	1.000000
4630.500000	4632.000000	T[2][18]	Execute()	1.000000
4632.000000	_______	T[0][580]	DelayedArrival	____
4632.000000	4634.000000	T[0][579]	Execute()	1.000000
4634.000000	_______	T[1][332]	DelayedArrival	____
4634.000000	4637.000000	____	Sleep	____
4637.000000	4637.500000	T[1][331]	Execute()	1.000000
4637.500000	4639.000000	____	Sleep	____
4639.000000	4640.000000	T[2][18]	Execute()	1.000000
4640.000000	_______	T[0][581]	DelayedArrival	____
4640.000000	4641.000000	T[0][580]	Execute()	1.000000
4641.000000	4648.000000	T[2][18]	Execute()	1.000000
4648.000000	_______	T[0][582]	DelayedArrival	____
4648.000000	_______	T[1][333]	DelayedArrival	____
4648.000000	4655.000000	T[2][18]	Execute()	1.000000
4655.000000	_______	T[2][20]	DelayedArrival	____
4655.000000	4656.000000	T[2][18]	Execute()	1.000000
4656.000000	_______	T[0][583]	DelayedArrival	____
4656.000000	4659.500000	T[2][18]	Execute()	1.000000
4659.500000	4660.000000	T[0][581]	Execute()	1.000000
4660.000000	4661.000000	____	Sleep	____
4661.000000	4662.000000	T[1][332]	Execute()	1.000000
4662.000000	_______	T[1][334]	DelayedArrival	____
4662.000000	4662.500000	T[0][582]	Execute()	1.000000
4662.500000	4670.000000	____	Sleep	____
4663.000000	_______	T[0][584]	DelayedArrival	____
4670.000000	4671.000000	T[0][583]	Execute()	1.000000
4671.000000	4675.000000	____	Sleep	____
4671.500000	_______	T[0][585]	DelayedArrival	____
4675.000000	4675.500000	T[1][333]	Execute()	1.000000
4675.500000	4678.000000	____	Sleep	____
4676.000000	_______	T[1][335]	DelayedArrival	____
4678.000000	4678.500000	T[0][584]	Execute()	1.000000
4678.500000	4686.000000	____	Sleep	____
4679.500000	_______	T[0][586]	DelayedArrival	____
4686.000000	4687.000000	T[0][585]	Execute()	1.000000
4687.000000	4689.000000	____	Sleep	____
4688.000000	_______	T[0][587]	DelayedArrival	____
4689.000000	4690.000000	T[1][334]	Execute()	1.000000
4690.000000	_______	T[1][336]	DelayedArrival	____
4690.000000	4694.000000	____	Sleep	____
4694.000000	4695.000000	T[0][586]	Execute()	1.000000
4695.000000	4701.000000	____	Sleep	____
4695.500000	_______	T[0][588]	DelayedArrival	____
4701.000000	4701.500000	T[1][335]	Execute()	1.000000
4701.500000	4703.500000	T[0][587]	Execute()	1.000000
4703.500000	4710.000000	____	Sleep	____
4704.000000	_______	T[0][589]	DelayedArrival	____
4704.000000	_______	T[1][337]	DelayedArrival	____
4710.000000	4711.000000	T[0][588]	Execute()	1.000000
4711.000000	4717.000000	____	Sleep	____
4712.000000	_______	T[0][590]	DelayedArrival	____
4717.000000	4718.000000	T[1][336]	Execute()	1.000000
4718.000000	_______	T[1][338]	DelayedArrival	____
4718.000000	4720.000000	T[0][589]	Execute()	1.000000
4720.000000	_______	T[0][591]	DelayedArrival	____
4720.000000	4726.000000	____	Sleep	____
4726.000000	4727.000000	T[0][590]	Execute()	1.000000
4727.000000	4731.000000	____	Sleep	____
4727.500000	_______	T[0][592]	DelayedArrival	____
4731.000000	4731.500000	T[1][337]	Execute()	1.000000
4731.500000	4734.000000	____	Sleep	____
4732.000000	_______	T[1][339]	DelayedArrival	____
4734.000000	4734.500000	T[0][591]	Execute()	1.000000
4734.500000	4742.000000	____	Sleep	____
4735.000000	_______	T[0][593]	DelayedArrival	____
4742.000000	4742.500000	T[0][592]	Execute()	1.000000
4742.500000	4745.000000	____	Sleep	____
4743.000000	_______	T[0][594]	DelayedArrival	____
4745.000000	4745.500000	T[1][338]	Execute()	1.000000
4745.500000	4750.000000	____	Sleep	____
4746.000000	_______	T[1][340]	DelayedArrival	____
4750.000000	4752.000000	T[0][593]	Execute()	1.000000
4752.000000	_______	T[0][595]	DelayedArrival	____
4752.000000	4757.000000	____	Sleep	____
4757.000000	4758.000000	T[1][339]	Execute()	1.000000
4758.000000	4758.500000	T[0][594]	Execute()	1.000000
4758.500000	4766.000000	____	Sleep	____
4760.000000	_______	T[0][596]	DelayedArrival	____
4760.000000	_______	T[1][341]	DelayedArrival	____
4766.000000	4766.500000	T[0][595]	Execute()	1.000000
4766.500000	4773.000000	____	Sleep	____
4767.500000	_______	T[0][597]	DelayedArrival	____
4773.000000	4774.000000	T[1][340]	Execute()	1.000000
4774.000000	_______	T[1][342]	DelayedArrival	____
4774.000000	4775.000000	T[0][596]	Execute()	1.000000
4775.000000	4782.000000	____	Sleep	____
4775.500000	_______	T[0][598]	DelayedArrival	____
4782.000000	4783.000000	T[0][597]	Execute()	1.000000
4783.000000	4787.000000	____	Sleep	____
4783.500000	_______	T[0][599]	DelayedArrival	____
4787.000000	4787.500000	T[1][341]	Execute()	1.000000
4787.500000	4790.000000	____	Sleep	____
4788.000000	_______	T[1][343]	DelayedArrival	____
4790.000000	4792.000000	T[0][598]	Execute()	1.000000
4792.000000	_______	T[0][600]	DelayedArrival	____
4792.000000	4798.000000	____	Sleep	____
4798.000000	4799.000000	T[0][599]	Execute()	1.000000
4799.000000	4801.000000	____	Sleep	____
4800.000000	_______	T[0][601]	DelayedArrival	____
4801.000000	4802.000000	T[1][342]	Execute()	1.000000
4802.000000	_______	T[1][344]	DelayedArrival	____
4802.000000	4806.000000	____	Sleep	____
4806.000000	4808.000000	T[0][600]	Execute()	1.000000
4808.000000	_______	T[0][602]	DelayedArrival	____
4808.000000	4813.000000	____	Sleep	____
4813.000000	4813.500000	T[1][343]	Execute()	1.000000
